CNIC,Caller Number,Activate At,CDR Number
10040374598,923989512,2019-03-25,923041225
10040374598,923989512,2019-03-25,923188087
75630011961,923028305,2019-10-10,923652318
75630011961,923028305,2019-10-10,923790016
10884572129,923245102,2019-12-11,923061005
10884572129,923245102,2019-12-11,923200074
45737184439,923111117,2019-09-16,923663345
45737184439,923111117,2019-09-16,923845549
63210308153,923075962,2019-09-19,923900709
63210308153,923075962,2019-09-19,923028458
21447797514,923176474,2019-05-09,923888603
21447797514,923176474,2019-05-09,923028512
52283520440,923928745,2019-08-02,923420154
52283520440,923928745,2019-08-02,923739069
81050454029,923553930,2019-09-02,923480783
81050454029,923553930,2019-09-02,923231768
59363189055,923224650,2019-02-28,923882713
59363189055,923224650,2019-02-28,923217648
74523804191,923251678,2019-04-10,923961074
74523804191,923251678,2019-04-10,923220103
35127966341,923773503,2019-03-04,923168485
35127966341,923773503,2019-03-04,923102063
88508050920,923633204,2019-10-16,923970775
88508050920,923633204,2019-10-16,923114274
96673157183,923665410,2019-09-28,923536225
96673157183,923665410,2019-09-28,923772555
18981860688,923628880,2019-03-17,923006672
18981860688,923628880,2019-03-17,923201804
55736723413,923941017,2019-03-14,923574870
55736723413,923941017,2019-03-14,923114966
38264963934,923832855,2019-12-25,923713245
38264963934,923832855,2019-12-25,923264134
84017963397,923086718,2019-12-15,923561786
84017963397,923086718,2019-12-15,923208596
36007342093,923109277,2019-02-14,923144461
36007342093,923109277,2019-02-14,923740721
28749189988,923835120,2019-08-15,923658530
28749189988,923835120,2019-08-15,923831238
33155022589,923746461,2019-05-07,923897008
33155022589,923746461,2019-05-07,923590887
36722319122,923730288,2019-03-29,923538461
36722319122,923730288,2019-03-29,923508247
75078677435,923105699,2019-09-17,923108244
75078677435,923105699,2019-09-17,923144461
60899246535,923005457,2019-09-22,923138249
60899246535,923005457,2019-09-22,923660876
47119029416,923193450,2019-10-24,923329982
47119029416,923193450,2019-10-24,923381705
11489475867,923824588,2019-01-11,923407133
11489475867,923824588,2019-01-11,923324931
58946005822,923094362,2019-06-11,923092336
58946005822,923094362,2019-06-11,923888171
97290560120,923707852,2019-06-13,923041225
97290560120,923707852,2019-06-13,923319352
86168350303,923096679,2019-01-09,923815947
86168350303,923096679,2019-01-09,923314507
12308265425,923789771,2019-10-11,923909000
12308265425,923789771,2019-10-11,923542719
73463159208,923727216,2019-10-11,923005739
73463159208,923727216,2019-10-11,923513791
48544275611,923085494,2019-08-29,923608113
48544275611,923085494,2019-08-29,923385828
41869409889,923320766,2019-01-23,923152807
41869409889,923320766,2019-01-23,923926167
24217081053,923245495,2019-03-16,923198412
24217081053,923245495,2019-03-16,923948701
41854809285,923603436,2019-09-01,923595898
41854809285,923603436,2019-09-01,923800019
11498531159,923775996,2019-08-03,923394595
11498531159,923775996,2019-08-03,923913410
16600200851,923473288,2019-10-18,923339680
16600200851,923473288,2019-10-18,923967288
40679691002,923488916,2019-08-23,923004668
40679691002,923488916,2019-08-23,923813970
99339705864,923871849,2019-11-05,923137793
99339705864,923871849,2019-11-05,923142036
54979482902,923488611,2019-02-23,923630359
54979482902,923488611,2019-02-23,923175765
25911472647,923967832,2019-01-11,923484155
25911472647,923967832,2019-01-11,923207126
44392009769,923855732,2019-11-23,923595170
44392009769,923855732,2019-11-23,923076428
75143338952,923611317,2019-12-12,923921571
75143338952,923611317,2019-12-12,923781150
63324647179,923013749,2019-03-31,923952499
63324647179,923013749,2019-03-31,923651606
52318544007,923503426,2019-07-26,923283068
52318544007,923503426,2019-07-26,923195616
72045725588,923982813,2019-07-24,923630163
72045725588,923982813,2019-07-24,923869400
25253586718,923260042,2019-03-06,923144475
25253586718,923260042,2019-03-06,923899997
26211453706,923189695,2019-01-17,923597533
26211453706,923189695,2019-01-17,923057787
91219801045,923517518,2019-01-10,923511424
91219801045,923517518,2019-01-10,923923128
68045922741,923386341,2019-10-11,923271507
68045922741,923386341,2019-10-11,923484639
15127215204,923557661,2019-01-20,923221504
15127215204,923557661,2019-01-20,923133479
97385813379,923466736,2019-06-23,923850217
97385813379,923466736,2019-06-23,923127880
31161534779,923425645,2019-09-11,923694450
31161534779,923425645,2019-09-11,923660876
34686152508,923307670,2019-10-19,923326274
34686152508,923307670,2019-10-19,923513266
18678749145,923072253,2019-07-01,923514569
18678749145,923072253,2019-07-01,923775248
65018379505,923179330,2019-02-21,923527874
65018379505,923179330,2019-02-21,923065311
85092918065,923147690,2019-06-30,923070120
85092918065,923147690,2019-06-30,923379460
91443111871,923200393,2019-10-09,923827635
91443111871,923200393,2019-10-09,923226325
17107294383,923548241,2019-06-20,923530787
17107294383,923548241,2019-06-20,923687290
26836236412,923297083,2019-02-24,923210784
26836236412,923297083,2019-02-24,923694450
59052223150,923156792,2019-03-13,923024203
59052223150,923156792,2019-03-13,923757011
99335741907,923082386,2019-08-09,923604540
99335741907,923082386,2019-08-09,923587121
90729984215,923367656,2019-09-19,923771619
90729984215,923367656,2019-09-19,923447765
38768956452,923643850,2019-05-29,923663345
38768956452,923643850,2019-05-29,923450747
55958542014,923107832,2019-03-19,923573741
55958542014,923107832,2019-03-19,923881475
61798881294,923851484,2019-07-31,923854679
61798881294,923851484,2019-07-31,923403644
16287308719,923421108,2019-08-23,923017444
16287308719,923421108,2019-08-23,923513187
22224813923,923618386,2019-11-04,923475296
22224813923,923618386,2019-11-04,923265167
44348133190,923874460,2019-05-01,923964387
44348133190,923874460,2019-05-01,923046588
26437953640,923542857,2019-03-06,923314507
26437953640,923542857,2019-03-06,923007189
61233710857,923600520,2019-03-18,923778576
61233710857,923600520,2019-03-18,923271165
11698125474,923014655,2019-08-22,923386339
11698125474,923014655,2019-08-22,923236098
77409672605,923898516,2019-03-16,923729486
77409672605,923898516,2019-03-16,923178066
16229063535,923310384,2019-01-18,923637070
16229063535,923310384,2019-01-18,923009187
91026835256,923430987,2019-02-24,923970648
91026835256,923430987,2019-02-24,923167050
54694830296,923650124,2019-08-07,923839133
54694830296,923650124,2019-08-07,923389023
87741105103,923067619,2019-05-07,923300622
87741105103,923067619,2019-05-07,923054119
72621270548,923351051,2019-11-05,923580263
72621270548,923351051,2019-11-05,923890706
19610745490,923844096,2019-07-15,923009187
19610745490,923844096,2019-07-15,923924915
84463582042,923352102,2019-07-17,923031372
84463582042,923352102,2019-07-17,923457368
30417868475,923157270,2019-11-11,923719295
30417868475,923157270,2019-11-11,923434101
55775186343,923559635,2019-11-25,923933834
55775186343,923559635,2019-11-25,923818273
72833485626,923664359,2019-09-04,923965609
72833485626,923664359,2019-09-04,923073508
87128513183,923852539,2019-08-16,923779539
87128513183,923852539,2019-08-16,923750011
36585212652,923147098,2019-12-22,923771147
36585212652,923147098,2019-12-22,923550975
28829643092,923800741,2019-11-09,923122103
28829643092,923800741,2019-11-09,923568833
52793193961,923485755,2019-12-01,923167334
52793193961,923485755,2019-12-01,923159234
57044687708,923370387,2019-03-14,923740390
57044687708,923370387,2019-03-14,923881182
14256755930,923088064,2019-09-10,923818711
14256755930,923088064,2019-09-10,923913570
31361321860,923071966,2019-01-06,923731950
31361321860,923071966,2019-01-06,923613881
24464696136,923217753,2019-04-23,923150861
24464696136,923217753,2019-04-23,923429268
10016651977,923104233,2019-11-07,923259018
10016651977,923104233,2019-11-07,923852252
15846606069,923326769,2019-06-29,923639713
15846606069,923326769,2019-06-29,923902302
13005047521,923439370,2019-01-31,923413632
13005047521,923439370,2019-01-31,923259916
42662822891,923385592,2019-06-27,923131451
42662822891,923385592,2019-06-27,923692313
75457549534,923014161,2019-01-11,923162495
75457549534,923014161,2019-01-11,923772484
61454270430,923467587,2019-10-13,923918594
61454270430,923467587,2019-10-13,923470886
45958952244,923949369,2019-06-24,923050376
45958952244,923949369,2019-06-24,923171970
49041172782,923254175,2019-01-14,923886510
49041172782,923254175,2019-01-14,923051297
32647355510,923313657,2019-01-28,923351051
32647355510,923313657,2019-01-28,923236098
14503922800,923431158,2019-11-05,923685120
14503922800,923431158,2019-11-05,923723800
96120709703,923244875,2019-12-26,923886510
96120709703,923244875,2019-12-26,923057787
53033156770,923570860,2019-05-14,923244968
53033156770,923570860,2019-05-14,923204866
52295665514,923306839,2019-03-08,923935157
52295665514,923306839,2019-03-08,923074736
49565315683,923899687,2019-04-19,923234256
49565315683,923899687,2019-04-19,923844096
36037839964,923248182,2019-10-11,923650157
36037839964,923248182,2019-10-11,923175357
79319619335,923933694,2019-06-28,923900587
79319619335,923933694,2019-06-28,923331272
38530966862,923178894,2019-06-16,923016450
38530966862,923178894,2019-06-16,923760094
56940953512,923348923,2019-05-12,923769463
56940953512,923348923,2019-05-12,923561165
92858206788,923395931,2019-06-11,923426141
92858206788,923395931,2019-06-11,923236098
65046036358,923776028,2019-11-09,923779433
65046036358,923776028,2019-11-09,923420908
32074422338,923947171,2019-09-13,923037697
32074422338,923947171,2019-09-13,923564847
48775336424,923628404,2019-05-02,923709433
48775336424,923628404,2019-05-02,923582475
54078453106,923745445,2019-06-29,923219694
54078453106,923745445,2019-06-29,923608113
43345165528,923124214,2019-12-29,923927679
43345165528,923124214,2019-12-29,923085799
23244162435,923230914,2019-11-18,923603870
23244162435,923230914,2019-11-18,923493540
73662100275,923685288,2019-03-19,923958355
73662100275,923685288,2019-03-19,923401525
18145392337,923862150,2019-11-13,923909494
18145392337,923862150,2019-11-13,923146103
94928627263,923949839,2019-01-26,923345893
94928627263,923949839,2019-01-26,923361289
17790387345,923692593,2019-07-16,923301623
17790387345,923692593,2019-07-16,923257203
84413024068,923338985,2019-08-23,923328693
84413024068,923338985,2019-08-23,923484639
86333305628,923816063,2019-03-16,923326744
86333305628,923816063,2019-03-16,923192345
68691343538,923800056,2019-11-08,923507620
68691343538,923800056,2019-11-08,923264144
26674129122,923627981,2019-09-20,923093526
26674129122,923627981,2019-09-20,923438408
72177396799,923163108,2019-01-20,923474252
72177396799,923163108,2019-01-20,923825312
20562034476,923070973,2019-12-24,923459938
20562034476,923070973,2019-12-24,923950986
68920052596,923133479,2019-10-25,923831102
68920052596,923133479,2019-10-25,923941665
17793760112,923263108,2019-03-14,923623505
17793760112,923263108,2019-03-14,923736549
17345208872,923828957,2019-08-27,923608697
17345208872,923828957,2019-08-27,923566440
12377946217,923495107,2019-05-30,923996780
12377946217,923495107,2019-05-30,923643670
50374583302,923908159,2019-02-20,923822066
50374583302,923908159,2019-02-20,923900587
96290062458,923513187,2019-11-10,923673766
96290062458,923513187,2019-11-10,923520494
33019761134,923584822,2019-12-07,923921571
33019761134,923584822,2019-12-07,923992547
85035490163,923909033,2019-10-08,923505018
85035490163,923909033,2019-10-08,923290884
57657127681,923564027,2019-06-12,923053530
57657127681,923564027,2019-06-12,923156792
27324556514,923091959,2019-06-03,923795998
27324556514,923091959,2019-06-03,923074821
39855765417,923835931,2019-04-01,923531307
39855765417,923835931,2019-04-01,923349963
41815047699,923575046,2019-01-28,923799334
41815047699,923575046,2019-01-28,923748942
35471519862,923938352,2019-11-05,923078483
35471519862,923938352,2019-11-05,923587713
46936214598,923737184,2019-06-09,923356059
46936214598,923737184,2019-06-09,923047152
87797891557,923266497,2019-04-21,923191103
87797891557,923266497,2019-04-21,923115763
82231674521,923427778,2019-04-14,923990271
82231674521,923427778,2019-04-14,923793099
12342960117,923676252,2019-02-13,923718966
12342960117,923676252,2019-02-13,923077718
28557424234,923093526,2019-04-27,923858688
28557424234,923093526,2019-04-27,923560983
59332307253,923311961,2019-03-12,923544290
59332307253,923311961,2019-03-12,923410379
82257682494,923807788,2019-01-14,923810721
82257682494,923807788,2019-01-14,923395144
91552362936,923083713,2019-10-30,923916618
91552362936,923083713,2019-10-30,923595336
52422638494,923229579,2019-10-07,923559111
52422638494,923229579,2019-10-07,923332617
58191858227,923680234,2019-11-14,923006396
58191858227,923680234,2019-11-14,923742066
76600196505,923916734,2019-11-28,923336577
76600196505,923916734,2019-11-28,923076307
70637795449,923948352,2019-12-15,923101628
70637795449,923948352,2019-12-15,923032875
49040444059,923266401,2019-09-30,923596445
49040444059,923266401,2019-09-30,923755434
42025721013,923787685,2019-04-05,923884385
42025721013,923787685,2019-04-05,923026255
18821982947,923592834,2019-12-23,923873253
18821982947,923592834,2019-12-23,923806370
60614161296,923116320,2019-12-31,923550849
60614161296,923116320,2019-12-31,923518050
12140141945,923246875,2019-07-12,923329868
12140141945,923246875,2019-07-12,923999569
66552141410,923051297,2019-12-22,923577742
66552141410,923051297,2019-12-22,923802687
97232956735,923858677,2019-06-06,923089824
97232956735,923858677,2019-06-06,923340569
13003923954,923506616,2019-12-07,923729648
13003923954,923506616,2019-12-07,923822521
75502499052,923937926,2019-03-01,923553929
75502499052,923937926,2019-03-01,923827635
41931318241,923069218,2019-04-11,923112624
41931318241,923069218,2019-04-11,923779623
21171314498,923695631,2019-03-01,923924200
21171314498,923695631,2019-03-01,923573741
82330823490,923642419,2019-05-28,923400952
82330823490,923642419,2019-05-28,923895387
25586681634,923143980,2019-12-01,923778096
25586681634,923143980,2019-12-01,923539645
77787394601,923177106,2019-09-04,923536421
77787394601,923177106,2019-09-04,923868650
34773383953,923623368,2019-08-19,923356390
34773383953,923623368,2019-08-19,923798133
23173502914,923943722,2019-12-15,923193450
23173502914,923943722,2019-12-15,923909799
68412708557,923477598,2019-01-09,923653904
68412708557,923477598,2019-01-09,923262771
52110053149,923898341,2019-12-26,923743753
52110053149,923898341,2019-12-26,923666655
30023860106,923536481,2019-06-19,923008657
30023860106,923536481,2019-06-19,923209242
26700886827,923536421,2019-10-31,923533097
26700886827,923536421,2019-10-31,923136325
14886727493,923511611,2019-10-01,923418494
14886727493,923511611,2019-10-01,923780159
16162326997,923420291,2019-07-28,923291366
16162326997,923420291,2019-07-28,923960264
71030151956,923046785,2019-11-26,923235398
71030151956,923046785,2019-11-26,923441169
32795905263,923174190,2019-12-07,923646075
32795905263,923174190,2019-12-07,923518771
90408284537,923112732,2019-06-05,923159644
90408284537,923112732,2019-06-05,923801003
58635253258,923016752,2019-08-14,923133479
58635253258,923016752,2019-08-14,923876442
28016805882,923351046,2019-03-15,923210784
28016805882,923351046,2019-03-15,923039821
52726941132,923609203,2019-01-04,923208596
52726941132,923609203,2019-01-04,923114932
83633869281,923248514,2019-06-17,923484655
83633869281,923248514,2019-06-17,923465267
94657607297,923138219,2019-09-22,923440138
94657607297,923138219,2019-09-22,923171970
88034644748,923683639,2019-04-08,923325110
88034644748,923683639,2019-04-08,923979109
21815622401,923817845,2019-07-25,923850382
21815622401,923817845,2019-07-25,923077612
89759082368,923138249,2019-06-17,923715657
89759082368,923138249,2019-06-17,923684388
14131719656,923034780,2019-06-07,923494163
14131719656,923034780,2019-06-07,923426141
87834882249,923088977,2019-02-23,923815884
87834882249,923088977,2019-02-23,923840745
82581757784,923505464,2019-08-05,923412241
82581757784,923505464,2019-08-05,923024057
61120139860,923881475,2019-10-02,923243949
61120139860,923881475,2019-10-02,923628504
62184926877,923476481,2019-11-16,923960937
62184926877,923476481,2019-11-16,923194621
27645862376,923461393,2019-05-17,923313580
27645862376,923461393,2019-05-17,923157769
52138591655,923653627,2019-05-12,923419544
52138591655,923653627,2019-05-12,923883246
43086287760,923976514,2019-07-04,923599975
43086287760,923976514,2019-07-04,923550626
81765143908,923617516,2019-04-06,923398733
81765143908,923617516,2019-04-06,923121870
51820948949,923619721,2019-04-16,923793564
51820948949,923619721,2019-04-16,923024433
63246426761,923824979,2019-12-12,923357726
63246426761,923824979,2019-12-12,923340581
43815284770,923187709,2019-07-03,923187058
43815284770,923187709,2019-07-03,923552548
23234665297,923793477,2019-07-10,923137793
23234665297,923793477,2019-07-10,923416739
46170102427,923493727,2019-04-23,923599975
46170102427,923493727,2019-04-23,923862707
18981641409,923793475,2019-11-19,923784103
18981641409,923793475,2019-11-19,923685288
35624393594,923075168,2019-11-11,923427339
35624393594,923075168,2019-11-11,923316925
48777099606,923041257,2019-04-14,923909799
48777099606,923041257,2019-04-14,923389023
85330049814,923769372,2019-04-21,923546450
85330049814,923769372,2019-04-21,923675622
44192667086,923675130,2019-07-04,923346076
44192667086,923675130,2019-07-04,923044317
49188260582,923848252,2019-01-01,923536138
49188260582,923848252,2019-01-01,923201855
22943250982,923672187,2019-05-05,923340366
22943250982,923672187,2019-05-05,923326274
41663930203,923653189,2019-12-04,923908159
41663930203,923653189,2019-12-04,923190051
72627249396,923652363,2019-08-17,923288506
72627249396,923652363,2019-08-17,923998748
26569077843,923984782,2019-04-11,923436354
26569077843,923984782,2019-04-11,923914231
20338430371,923812221,2019-10-30,923313532
20338430371,923812221,2019-10-30,923758865
55272993764,923711691,2019-02-04,923604099
55272993764,923711691,2019-02-04,923330454
34617734162,923868159,2019-03-23,923682844
34617734162,923868159,2019-03-23,923763301
89711849903,923899997,2019-11-05,923007525
89711849903,923899997,2019-11-05,923977540
44554916626,923770202,2019-02-25,923720149
44554916626,923770202,2019-02-25,923725595
62330949893,923872899,2019-08-15,923578654
62330949893,923872899,2019-08-15,923852899
32095736310,923690801,2019-08-17,923725595
32095736310,923690801,2019-08-17,923421768
20476068048,923335591,2019-01-28,923008193
20476068048,923335591,2019-01-28,923482748
12962151202,923923431,2019-12-26,923719030
12962151202,923923431,2019-12-26,923163465
18838054150,923006672,2019-09-03,923658606
18838054150,923006672,2019-09-03,923873325
59123762272,923277169,2019-02-13,923893246
59123762272,923277169,2019-02-13,923989194
96002883920,923706578,2019-05-05,923324173
96002883920,923706578,2019-05-05,923372757
40305225457,923911215,2019-11-27,923604622
40305225457,923911215,2019-11-27,923377791
20132477693,923818339,2019-08-08,923355704
20132477693,923818339,2019-08-08,923957974
63459280708,923287426,2019-10-24,923149103
63459280708,923287426,2019-10-24,923206732
29604114552,923469319,2019-05-31,923911645
29604114552,923469319,2019-05-31,923282040
24354993083,923914763,2019-11-13,923442433
24354993083,923914763,2019-11-13,923863498
73438585996,923313291,2019-06-29,923309461
73438585996,923313291,2019-06-29,923992135
57188280516,923398926,2019-07-22,923491274
57188280516,923398926,2019-07-22,923943157
60245115677,923824026,2019-09-09,923718140
60245115677,923824026,2019-09-09,923806016
77567483076,923886510,2019-12-19,923701824
77567483076,923886510,2019-12-19,923076428
52050560712,923653711,2019-01-23,923852252
52050560712,923653711,2019-01-23,923983145
35922911147,923049238,2019-02-03,923531669
35922911147,923049238,2019-02-03,923493623
52628691851,923165125,2019-06-03,923553448
52628691851,923165125,2019-06-03,923836632
64509152465,923216589,2019-12-23,923557582
64509152465,923216589,2019-12-23,923273536
41167323412,923114324,2019-05-20,923497115
41167323412,923114324,2019-05-20,923675130
95034494650,923427479,2019-08-24,923892551
95034494650,923427479,2019-08-24,923017820
41792533913,923056412,2019-12-06,923576411
41792533913,923056412,2019-12-06,923682704
80660342111,923121142,2019-10-10,923198791
80660342111,923121142,2019-10-10,923491746
48535963166,923076963,2019-12-31,923496120
48535963166,923076963,2019-12-31,923571985
96792611009,923945151,2019-01-04,923906925
96792611009,923945151,2019-01-04,923398923
24791407669,923808024,2019-10-03,923517378
24791407669,923808024,2019-10-03,923471991
14990856727,923345379,2019-07-26,923860634
14990856727,923345379,2019-07-26,923074753
53925118501,923879353,2019-03-06,923314538
53925118501,923879353,2019-03-06,923990271
12851248653,923209242,2019-02-13,923726335
12851248653,923209242,2019-02-13,923964605
41988231670,923215673,2019-03-29,923273493
41988231670,923215673,2019-03-29,923924295
30295595959,923675322,2019-03-08,923485001
30295595959,923675322,2019-03-08,923348265
96309088987,923148987,2019-11-09,923144461
96309088987,923148987,2019-11-09,923848476
51835121701,923455314,2019-12-01,923023126
51835121701,923455314,2019-12-01,923958998
73275807301,923910661,2019-05-25,923325677
73275807301,923910661,2019-05-25,923577060
66049250863,923457424,2019-11-12,923670386
66049250863,923457424,2019-11-12,923313532
17390726010,923235620,2019-07-31,923860050
17390726010,923235620,2019-07-31,923456621
32731898697,923043990,2019-01-13,923725068
32731898697,923043990,2019-01-13,923549136
34808196604,923197775,2019-01-30,923171780
34808196604,923197775,2019-01-30,923166529
90159835448,923992929,2019-06-28,923147134
90159835448,923992929,2019-06-28,923360783
82999914880,923699055,2019-02-27,923914401
82999914880,923699055,2019-02-27,923365899
24893396952,923413962,2019-01-01,923934991
24893396952,923413962,2019-01-01,923975767
75569183865,923572819,2019-08-13,923924509
75569183865,923572819,2019-08-13,923024299
31571569636,923229655,2019-05-04,923114677
31571569636,923229655,2019-05-04,923208596
70093193449,923925951,2019-10-22,923530787
70093193449,923925951,2019-10-22,923583570
52492674358,923547233,2019-09-28,923675378
52492674358,923547233,2019-09-28,923552237
36578548415,923470088,2019-12-06,923254635
36578548415,923470088,2019-12-06,923660258
94921642953,923259916,2019-07-17,923852493
94921642953,923259916,2019-07-17,923970775
47258165930,923192345,2019-08-06,923936094
47258165930,923192345,2019-08-06,923079002
10453137419,923346076,2019-01-13,923906153
10453137419,923346076,2019-01-13,923120218
27903907331,923596503,2019-09-03,923614129
27903907331,923596503,2019-09-03,923868159
79600642122,923745547,2019-12-28,923701119
79600642122,923745547,2019-12-28,923289735
22077413159,923933834,2019-11-08,923405280
22077413159,923933834,2019-11-08,923660882
78354866999,923331868,2019-03-23,923892813
78354866999,923331868,2019-03-23,923381705
96029733738,923880350,2019-05-18,923309461
96029733738,923880350,2019-05-18,923039343
51352512313,923825312,2019-10-24,923727248
51352512313,923825312,2019-10-24,923819247
59394498914,923262603,2019-10-18,923927714
59394498914,923262603,2019-10-18,923439370
74323894456,923934231,2019-06-30,923630163
74323894456,923934231,2019-06-30,923299057
44291758529,923223895,2019-07-14,923328693
44291758529,923223895,2019-07-14,923840027
24799576868,923844772,2019-01-07,923851380
24799576868,923844772,2019-01-07,923290691
81640077907,923840188,2019-06-25,923989194
81640077907,923840188,2019-06-25,923921864
14490489650,923474805,2019-09-20,923536138
14490489650,923474805,2019-09-20,923953720
15947329034,923539645,2019-06-11,923183208
15947329034,923539645,2019-06-11,923124214
76000674591,923058366,2019-07-13,923660964
76000674591,923058366,2019-07-13,923205206
35742812799,923194868,2019-10-24,923650184
35742812799,923194868,2019-10-24,923751344
21572198236,923927714,2019-04-12,923032820
21572198236,923927714,2019-04-12,923455423
79233008882,923116591,2019-12-25,923287663
79233008882,923116591,2019-12-25,923798133
78763129541,923640446,2019-10-09,923031015
78763129541,923640446,2019-10-09,923553930
26975496787,923567999,2019-07-19,923311207
26975496787,923567999,2019-07-19,923074075
42357792636,923926627,2019-10-19,923184063
42357792636,923926627,2019-10-19,923746149
97862335292,923332617,2019-02-04,923518461
97862335292,923332617,2019-02-04,923974174
40833046145,923496748,2019-05-15,923789705
40833046145,923496748,2019-05-15,923892900
87808406850,923260676,2019-02-20,923049318
87808406850,923260676,2019-02-20,923945488
70762872517,923843338,2019-05-22,923119268
70762872517,923843338,2019-05-22,923660222
17244138910,923495266,2019-01-01,923068914
17244138910,923495266,2019-01-01,923561165
92095783591,923067566,2019-01-15,923413051
92095783591,923067566,2019-01-15,923031015
35989432140,923630126,2019-02-22,923664812
35989432140,923630126,2019-02-22,923014655
24607832477,923552237,2019-07-10,923353470
24607832477,923552237,2019-07-10,923032378
58937121337,923914404,2019-04-30,923599804
58937121337,923914404,2019-04-30,923202144
88349405445,923283068,2019-02-24,923526263
88349405445,923283068,2019-02-24,923695631
86351641107,923781150,2019-06-06,923151266
86351641107,923781150,2019-06-06,923616106
36148198321,923773330,2019-07-04,923920083
36148198321,923773330,2019-07-04,923757911
70944404008,923856582,2019-05-04,923932181
70944404008,923856582,2019-05-04,923941663
80518924317,923396961,2019-08-17,923187747
80518924317,923396961,2019-08-17,923130226
27065499132,923157769,2019-09-14,923628504
