CNIC,CDR Number
72833485626,923073508
87128513183,923779539
87128513183,923750011
36585212652,923771147
36585212652,923550975
28829643092,923122103
28829643092,923568833
52793193961,923167334
52793193961,923159234
57044687708,923740390
57044687708,923881182
14256755930,923818711
14256755930,923913570
31361321860,923731950
31361321860,923613881
24464696136,923150861
24464696136,923429268
10016651977,923259018
10016651977,923852252
15846606069,923639713
15846606069,923902302
13005047521,923413632
13005047521,923259916
42662822891,923131451
42662822891,923692313
75457549534,923162495
75457549534,923772484
61454270430,923918594
61454270430,923470886
45958952244,923050376
45958952244,923171970
49041172782,923886510
49041172782,923051297
32647355510,923351051
32647355510,923236098
14503922800,923685120
14503922800,923723800
96120709703,923886510
96120709703,923057787
53033156770,923244968
53033156770,923204866
52295665514,923935157
52295665514,923074736
49565315683,923234256
49565315683,923844096
36037839964,923650157
36037839964,923175357
79319619335,923900587
79319619335,923331272
38530966862,923016450
38530966862,923760094
56940953512,923769463
56940953512,923561165
92858206788,923426141
92858206788,923236098
65046036358,923779433
65046036358,923420908
32074422338,923037697
32074422338,923564847
48775336424,923709433
48775336424,923582475
54078453106,923219694
54078453106,923608113
43345165528,923927679
43345165528,923085799
23244162435,923603870
23244162435,923493540
73662100275,923958355
73662100275,923401525
18145392337,923909494
18145392337,923146103
94928627263,923345893
94928627263,923361289
17790387345,923301623
17790387345,923257203
84413024068,923328693
84413024068,923484639
86333305628,923326744
86333305628,923192345
68691343538,923507620
68691343538,923264144
26674129122,923093526
26674129122,923438408
72177396799,923474252
72177396799,923825312
20562034476,923459938
20562034476,923950986
68920052596,923831102
68920052596,923941665
17793760112,923623505
17793760112,923736549
17345208872,923608697
17345208872,923566440
12377946217,923996780
12377946217,923643670
50374583302,923822066
50374583302,923900587
96290062458,923673766
96290062458,923520494
33019761134,923921571
33019761134,923992547
85035490163,923505018
85035490163,923290884
57657127681,923053530
57657127681,923156792
27324556514,923795998
27324556514,923074821
39855765417,923531307
39855765417,923349963
41815047699,923799334
41815047699,923748942
35471519862,923078483
35471519862,923587713
46936214598,923356059
46936214598,923047152
87797891557,923191103
87797891557,923115763
82231674521,923990271
82231674521,923793099
12342960117,923718966
12342960117,923077718
28557424234,923858688
28557424234,923560983
59332307253,923544290
59332307253,923410379
82257682494,923810721
82257682494,923395144
91552362936,923916618
91552362936,923595336
52422638494,923559111
52422638494,923332617
58191858227,923006396
58191858227,923742066
76600196505,923336577
76600196505,923076307
70637795449,923101628
70637795449,923032875
49040444059,923596445
49040444059,923755434
42025721013,923884385
42025721013,923026255
18821982947,923873253
18821982947,923806370
60614161296,923550849
60614161296,923518050
12140141945,923329868
12140141945,923999569
66552141410,923577742
66552141410,923802687
97232956735,923089824
97232956735,923340569
13003923954,923729648
13003923954,923822521
75502499052,923553929
75502499052,923827635
41931318241,923112624
41931318241,923779623
21171314498,923924200
21171314498,923573741
82330823490,923400952
82330823490,923895387
25586681634,923778096
25586681634,923539645
77787394601,923536421
77787394601,923868650
34773383953,923356390
34773383953,923798133
23173502914,923193450
23173502914,923909799
68412708557,923653904
68412708557,923262771
52110053149,923743753
52110053149,923666655
30023860106,923008657
30023860106,923209242
26700886827,923533097
26700886827,923136325
14886727493,923418494
14886727493,923780159
16162326997,923291366
16162326997,923960264
71030151956,923235398
71030151956,923441169
32795905263,923646075
32795905263,923518771
90408284537,923159644
90408284537,923801003
58635253258,923133479
58635253258,923876442
28016805882,923210784
28016805882,923039821
52726941132,923208596
52726941132,923114932
83633869281,923484655
83633869281,923465267
94657607297,923440138
94657607297,923171970
88034644748,923325110
88034644748,923979109
21815622401,923850382
21815622401,923077612
89759082368,923715657
89759082368,923684388
14131719656,923494163
14131719656,923426141
87834882249,923815884
87834882249,923840745
82581757784,923412241
82581757784,923024057
61120139860,923243949
61120139860,923628504
62184926877,923960937
62184926877,923194621
27645862376,923313580
27645862376,923157769
52138591655,923419544
52138591655,923883246
43086287760,923599975
43086287760,923550626
81765143908,923398733
81765143908,923121870
51820948949,923793564
51820948949,923024433
63246426761,923357726
63246426761,923340581
43815284770,923187058
43815284770,923552548
23234665297,923137793
23234665297,923416739
46170102427,923599975
46170102427,923862707
18981641409,923784103
18981641409,923685288
35624393594,923427339
35624393594,923316925
48777099606,923909799
48777099606,923389023
85330049814,923546450
85330049814,923675622
44192667086,923346076
44192667086,923044317
49188260582,923536138
49188260582,923201855
22943250982,923340366
22943250982,923326274
41663930203,923908159
41663930203,923190051
72627249396,923288506
72627249396,923998748
26569077843,923436354
26569077843,923914231
20338430371,923313532
20338430371,923758865
55272993764,923604099
55272993764,923330454
34617734162,923682844
34617734162,923763301
89711849903,923007525
89711849903,923977540
44554916626,923720149
44554916626,923725595
62330949893,923578654
62330949893,923852899
32095736310,923725595
32095736310,923421768
20476068048,923008193
20476068048,923482748
12962151202,923719030
12962151202,923163465
18838054150,923658606
18838054150,923873325
59123762272,923893246
59123762272,923989194
96002883920,923324173
96002883920,923372757
40305225457,923604622
40305225457,923377791
20132477693,923355704
20132477693,923957974
63459280708,923149103
63459280708,923206732
29604114552,923911645
29604114552,923282040
24354993083,923442433
24354993083,923863498
73438585996,923309461
73438585996,923992135
57188280516,923491274
57188280516,923943157
60245115677,923718140
60245115677,923806016
77567483076,923701824
77567483076,923076428
52050560712,923852252
52050560712,923983145
35922911147,923531669
35922911147,923493623
52628691851,923553448
52628691851,923836632
64509152465,923557582
64509152465,923273536
41167323412,923497115
41167323412,923675130
95034494650,923892551
95034494650,923017820
41792533913,923576411
41792533913,923682704
80660342111,923198791
80660342111,923491746
48535963166,923496120
48535963166,923571985
96792611009,923906925
96792611009,923398923
24791407669,923517378
24791407669,923471991
14990856727,923860634
14990856727,923074753
53925118501,923314538
53925118501,923990271
12851248653,923726335
12851248653,923964605
41988231670,923273493
41988231670,923924295
30295595959,923485001
30295595959,923348265
96309088987,923144461
96309088987,923848476
51835121701,923023126
51835121701,923958998
73275807301,923325677
73275807301,923577060
66049250863,923670386
66049250863,923313532
17390726010,923860050
17390726010,923456621
32731898697,923725068
32731898697,923549136
34808196604,923171780
34808196604,923166529
90159835448,923147134
90159835448,923360783
82999914880,923914401
82999914880,923365899
24893396952,923934991
24893396952,923975767
75569183865,923924509
75569183865,923024299
31571569636,923114677
31571569636,923208596
70093193449,923530787
70093193449,923583570
52492674358,923675378
52492674358,923552237
36578548415,923254635
36578548415,923660258
94921642953,923852493
94921642953,923970775
47258165930,923936094
47258165930,923079002
10453137419,923906153
10453137419,923120218
27903907331,923614129
27903907331,923868159
79600642122,923701119
79600642122,923289735
22077413159,923405280
22077413159,923660882
78354866999,923892813
78354866999,923381705
96029733738,923309461
96029733738,923039343
51352512313,923727248
51352512313,923819247
59394498914,923927714
59394498914,923439370
74323894456,923630163
74323894456,923299057
44291758529,923328693
44291758529,923840027
24799576868,923851380
24799576868,923290691
81640077907,923989194
81640077907,923921864
14490489650,923536138
14490489650,923953720
15947329034,923183208
15947329034,923124214
76000674591,923660964
76000674591,923205206
35742812799,923650184
35742812799,923751344
21572198236,923032820
21572198236,923455423
79233008882,923287663
79233008882,923798133
78763129541,923031015
78763129541,923553930
26975496787,923311207
26975496787,923074075
42357792636,923184063
42357792636,923746149
97862335292,923518461
97862335292,923974174
40833046145,923789705
40833046145,923892900
87808406850,923049318
87808406850,923945488
70762872517,923119268
70762872517,923660222
17244138910,923068914
17244138910,923561165
92095783591,923413051
92095783591,923031015
35989432140,923664812
35989432140,923014655
24607832477,923353470
24607832477,923032378
58937121337,923599804
58937121337,923202144
88349405445,923526263
88349405445,923695631
86351641107,923151266
86351641107,923616106
36148198321,923920083
36148198321,923757911
70944404008,923932181
70944404008,923941663
80518924317,923187747
80518924317,923130226
27065499132,923628504
27065499132,923048929
42258565774,923657001
42258565774,923409120
94364852995,923861215
94364852995,923174152
99693546180,923668498
99693546180,923517216
32738262482,923695011
32738262482,923862707
83270064156,923775255
83270064156,923650330
87517205653,923911476
87517205653,923818259
16235756980,923673567
16235756980,923260042
65589820349,923140780
65589820349,923307670
83143806829,923292662
83143806829,923988359
60074468563,923224650
60074468563,923622915
23642401233,923382137
23642401233,923220434
42456257549,923170908
42456257549,923491258
38733043595,923729661
38733043595,923697295
37323540357,923757011
37323540357,923549458
20771166269,923051225
20771166269,923844141
37874285736,923436339
37874285736,923855141
46329726383,923116230
46329726383,923051875
74079453622,923496748
74079453622,923314172
36958155112,923770179
36958155112,923008387
84804845743,923815884
84804845743,923876910
97059013123,923367656
97059013123,923395931
68748934438,923173912
68748934438,923341125
75081035541,923414510
75081035541,923359054
97940333929,923402501
97940333929,923287807
95474198317,923504127
95474198317,923581870
17598468093,923163580
17598468093,923050082
23276219946,923154181
23276219946,923191622
37487483322,923763256
37487483322,923424023
36228747060,923841286
36228747060,923777679
53293160457,923039100
53293160457,923516373
10059841625,923101479
10059841625,923172898
91169554155,923362871
91169554155,923692815
89959125871,923969689
89959125871,923896172
37423265555,923623945
37423265555,923748692
46694953745,923954973
46694953745,923429410
37136869218,923314172
37136869218,923497632
53706573564,923932853
53706573564,923769558
43361430175,923175361
43361430175,923818577
41432806089,923952634
41432806089,923463458
35710989429,923436024
35710989429,923215632
57846808938,923407054
57846808938,923657001
90913210130,923887785
90913210130,923609126
86989314782,923858668
86989314782,923337442
77305826461,923799414
77305826461,923741423
72920862640,923280774
72920862640,923190051
88560776078,923668930
88560776078,923423770
81536103552,923297073
81536103552,923056187
13225770855,923218761
13225770855,923221327
96876366449,923203743
96876366449,923569654
13282363849,923316925
13282363849,923071652
50831893599,923231768
50831893599,923030956
12103576399,923719534
12103576399,923291058
31484260993,923739037
31484260993,923163256
76647470030,923044243
76647470030,923049571
38429918879,923454297
38429918879,923989512
33830734288,923326344
33830734288,923101364
17110297485,923050389
17110297485,923935513
74546811461,923524999
74546811461,923568831
52721414897,923234439
52721414897,923565368
94715711612,923279276
94715711612,923553783
69480801423,923305589
69480801423,923941182
82666777761,923101628
82666777761,923945863
62806592407,923396118
62806592407,923151766
11876097408,923395057
11876097408,923634162
87531200256,923842051
87531200256,923214801
38113580124,923504075
38113580124,923866865
38041211971,923186880
38041211971,923063963
37760547093,923376318
37760547093,923836348
42763031433,923543153
42763031433,923533026
34616873424,923776542
34616873424,923029118
19684007575,923597533
19684007575,923466736
99049520708,923681321
99049520708,923132579
45691652042,923164078
45691652042,923313465
52899911113,923643670
52899911113,923344777
49655413202,923112624
49655413202,923613833
54021637244,923691479
54021637244,923287998
59720499811,923904630
59720499811,923145281
23399253788,923536225
23399253788,923600520
35054234008,923570524
35054234008,923570197
42499496497,923377105
42499496497,923273493
20474829490,923271048
20474829490,923962242
41956535073,923728693
41956535073,923986657
47501681326,923938183
47501681326,923984462
22361023564,923056053
22361023564,923557661
14297535964,923763466
14297535964,923573604
29638169991,923260654
29638169991,923318278
11405354228,923632103
11405354228,923473346
98013720561,923387563
98013720561,923320820
51475398234,923564027
51475398234,923341672
17094452469,923241277
17094452469,923378410
47631519177,923365792
47631519177,923295730
64919197681,923900358
64919197681,923093526
59779378947,923071276
59779378947,923540318
80249831918,923842474
80249831918,923969527
96498202830,923478812
96498202830,923074075
57707138981,923883151
57707138981,923879707
70374616130,923690970
70374616130,923978812
59328012017,923623505
59328012017,923079598
70846468317,923962828
70846468317,923283068
99379151453,923652092
99379151453,923260988
87312067807,923698402
87312067807,923163778
73287961831,923502921
73287961831,923292662
64141885003,923466587
64141885003,923383612
73747032616,923515367
73747032616,923780159
63843069290,923887593
63843069290,923165771
38768867646,923084590
38768867646,923725506
96791496227,923245293
96791496227,923678065
60702745464,923933834
60702745464,923483977
35745553986,923909492
35745553986,923119633
64740854181,923978812
64740854181,923505922
31456028444,923318689
31456028444,923191338
20984789225,923808024
20984789225,923012866
40942372285,923423770
40942372285,923688825
78589484448,923694450
78589484448,923136325
46671817445,923528808
46671817445,923140673
16915951976,923364726
16915951976,923677276
53106393719,923608697
53106393719,923463884
48467149586,923047543
48467149586,923165125
79557239811,923759487
79557239811,923607819
89858299798,923817706
89858299798,923263882
73395038055,923213367
73395038055,923850945
16047713654,923133880
16047713654,923862754
97627887009,923363560
97627887009,923217505
15018543370,923388395
15018543370,923297046
31354686552,923933731
31354686552,923888054
50444559402,923097181
50444559402,923722738
75244587698,923895860
75244587698,923396706
83003700970,923013637
83003700970,923244575
47822557387,923088105
47822557387,923133013
56782613077,923135417
56782613077,923676768
95078707519,923417227
95078707519,923586354
24197775374,923143980
24197775374,923827746
84312151469,923469319
84312151469,923466729
79551304839,923254494
79551304839,923460868
79586877485,923885193
79586877485,923385592
26298569654,923514133
26298569654,923582832
30888061457,923892813
30888061457,923228395
16552305892,923068778
16552305892,923261762
84868314150,923211747
84868314150,923520882
80276908892,923459808
80276908892,923949143
22708193849,923462464
22708193849,923401287
93951060174,923708315
93951060174,923537177
17596325286,923444343
17596325286,923936319
48470334913,923734006
48470334913,923695870
74064128482,923132579
74064128482,923768594
21881956592,923886595
21881956592,923974144
62135661561,923157418
62135661561,923491300
52737214182,923968853
52737214182,923289717
26960450370,923835124
26960450370,923467587
54336120635,923739226
54336120635,923614387
41594163566,923830506
41594163566,923652318
19197772455,923447765
19197772455,923572046
10113492762,923448116
10113492762,923490104
80246050778,923382345
80246050778,923128920
75040154370,923353270
75040154370,923479183
22522548714,923816510
22522548714,923084590
90028645059,923640045
90028645059,923423738
93608657929,923229969
93608657929,923833677
49535687985,923489699
49535687985,923876286
11459012776,923274895
11459012776,923418278
25215850753,923308642
25215850753,923678371
14381284074,923659820
14381284074,923094969
13988013017,923937681
13988013017,923810721
60686119610,923480310
60686119610,923120218
56503360987,923094969
56503360987,923604622
38583507512,923079862
38583507512,923913648
96464121894,923654721
96464121894,923843662
20260749882,923757841
20260749882,923685120
10788709848,923031555
10788709848,923339680
68745721406,923812695
68745721406,923324586
99907344754,923260638
99907344754,923140281
19011035743,923748662
19011035743,923023468
55769698128,923989194
55769698128,923936094
41535915665,923386479
41535915665,923917483
73144299008,923781607
73144299008,923727216
69724713834,923505973
69724713834,923828556
73229516718,923376232
73229516718,923919121
61900642791,923288506
61900642791,923683977
87216127832,923612718
87216127832,923027349
39910122762,923472852
39910122762,923508555
50220433004,923193579
50220433004,923207126
48183387180,923464062
48183387180,923030409
81636703052,923248474
81636703052,923057787
64204610334,923550745
64204610334,923044243
66608675735,923101188
66608675735,923568833
98288033322,923941017
98288033322,923284914
55037138173,923979224
55037138173,923992835
27297979182,923746419
27297979182,923946192
14580700937,923197252
14580700937,923952499
70278591384,923326769
70278591384,923174190
31723618694,923055700
31723618694,923561165
47060329399,923514663
47060329399,923060890
21481273667,923892891
21481273667,923130454
86617258491,923341732
86617258491,923217648
50186574933,923145369
50186574933,923648220
14599200950,923372757
14599200950,923396440
33865034610,923907891
33865034610,923057618
59119200719,923763789
59119200719,923499956
70600197149,923729865
70600197149,923915739
11472613036,923360779
11472613036,923724666
21177190557,923869593
21177190557,923263375
17880664041,923632103
17880664041,923623505
19514889654,923144735
19514889654,923549024
19805798890,923900134
19805798890,923701119
32619650802,923106831
32619650802,923000802
55635184841,923243422
55635184841,923350633
44400433837,923751681
44400433837,923101188
54126173409,923054912
54126173409,923718728
65365776662,923985928
65365776662,923114298
55063028694,923370387
55063028694,923979764
63981019207,923566642
63981019207,923574870
39499823077,923879353
39499823077,923383628
20736561668,923175765
20736561668,923697574
97616611815,923731032
97616611815,923091721
48251708357,923538461
48251708357,923678800
17904394456,923063963
17904394456,923076428
79909475316,923819720
79909475316,923858677
41940585513,923341732
41940585513,923472981
20842076657,923600520
20842076657,923415176
78260134662,923504992
78260134662,923754015
36913537746,923004815
36913537746,923653653
55628700833,923511973
55628700833,923800741
25492835328,923997208
25492835328,923866865
94071990470,923264966
94071990470,923828957
34992859749,923592652
34992859749,923206732
26062845183,923393954
26062845183,923201804
80443880298,923541352
80443880298,923899687
17761090499,923884005
17761090499,923688691
32908665285,923326744
32908665285,923037697
52456212854,923158276
52456212854,923967378
84719926416,923374954
84719926416,923490506
67710227507,923543153
67710227507,923172137
44759421566,923042488
44759421566,923586354
73122470424,923141225
73122470424,923055906
78134249905,923739037
78134249905,923584822
73842568237,923945856
73842568237,923895860
30013962670,923825975
30013962670,923505018
88329881194,923357726
88329881194,923031015
48199168318,923694124
48199168318,923657562
82176989400,923049318
82176989400,923083148
26968543511,923971871
26968543511,923225280
61615757843,923770798
61615757843,923668455
36503436232,923051357
36503436232,923018623
12310143936,923665410
12310143936,923426072
25888072084,923677581
25888072084,923331272
87963791109,923991256
87963791109,923023468
50723685653,923400788
50723685653,923979224
58454626649,923010871
58454626649,923912321
48880283711,923611811
48880283711,923548608
25557122907,923309461
25557122907,923448201
97632603184,923634162
97632603184,923088253
60466772097,923275467
60466772097,923923285
32112108012,923257316
32112108012,923190139
97840804033,923415645
97840804033,923251678
61463229567,923566643
61463229567,923936664
98818921549,923123401
98818921549,923987787
55718903136,923924509
55718903136,923318278
51833412880,923952499
51833412880,923610854
39717847850,923843613
39717847850,923070973
72281448322,923349963
72281448322,923017474
75610129559,923318164
75610129559,923515447
41948035558,923716001
41948035558,923521168
67975957230,923522926
67975957230,923933424
12389785082,923323891
12389785082,923272723
89691327606,923643850
89691327606,923671300
16213900594,923431444
16213900594,923951324
64163715576,923692407
64163715576,923041257
86247467323,923658606
86247467323,923193450
97014080463,923420670
97014080463,923786312
15652627609,923301553
15652627609,923863498
24166252870,923927664
24166252870,923852493
75263896133,923072365
75263896133,923693626
84847111277,923266147
84847111277,923056630
84870659692,923205183
84870659692,923546450
79262212032,923844862
79262212032,923230959
58517565273,923056602
58517565273,923381705
17663099021,923454751
17663099021,923585547
78786339357,923990012
78786339357,923662166
88761025349,923457424
88761025349,923748018
25247676270,923718672
25247676270,923911895
82871953000,923460628
82871953000,923055184
47376092057,923623945
47376092057,923298642
74992652148,923164078
74992652148,923503828
88821049327,923098498
88821049327,923682704
10062652262,923630975
10062652262,923276939
65179641372,923065301
65179641372,923811282
99458817317,923583570
99458817317,923008750
82647516586,923498236
82647516586,923945856
11098850951,923845200
11098850951,923577894
17920102007,923961183
17920102007,923464062
63448856515,923958355
63448856515,923151538
37733492291,923851795
37733492291,923495542
84015737156,923403892
84015737156,923272041
42424447123,923559635
42424447123,923838418
38688235091,923337214
38688235091,923900134
83504412851,923006672
83504412851,923652564
61174740108,923844772
61174740108,923807788
75964480499,923030396
75964480499,923289290
65515463684,923553262
65515463684,923348923
82977056195,923817044
82977056195,923881625
16034601936,923654721
16034601936,923073191
34855316353,923865964
34855316353,923210297
81564051358,923013002
81564051358,923961183
93507189470,923672185
93507189470,923531307
84637422216,923734006
84637422216,923997039
93160235799,923400788
93160235799,923941195
11665925569,923121142
11665925569,923196535
39024511375,923824636
39024511375,923682245
20396198074,923166529
20396198074,923185413
41938331742,923075877
41938331742,923514569
57813315657,923595170
57813315657,923524999
68187079453,923149418
68187079453,923550626
52204078573,923176626
52204078573,923883485
82621066979,923302298
82621066979,923698149
68604657775,923993265
68604657775,923409120
59152888074,923481523
59152888074,923793475
86569540060,923718629
86569540060,923571746
29318406929,923421108
29318406929,923358266
39498718236,923549772
39498718236,923039821
29143855435,923877966
29143855435,923363560
73441359446,923392672
73441359446,923828957
49203358991,923230295
49203358991,923692446
92372940259,923256881
92372940259,923068778
85041823284,923024299
85041823284,923179653
90843112852,923623590
90843112852,923232053
28987794194,923879076
28987794194,923239944
45479757271,923795353
45479757271,923862150
60123565166,923712625
60123565166,923453646
80431177631,923643850
80431177631,923085231
38988445889,923736549
38988445889,923889477
95564204552,923435893
95564204552,923262164
57875603358,923851187
57875603358,923277026
59000678015,923531615
59000678015,923725068
74969321733,923798086
74969321733,923647016
51990504910,923246433
51990504910,923935918
91545098347,923186298
91545098347,923927863
77888807075,923790235
77888807075,923991125
71061818315,923201194
71061818315,923536225
93201964675,923718354
93201964675,923502630
59262067735,923472981
59262067735,923092794
60655504790,923331798
60655504790,923688825
82368907382,923093016
82368907382,923025318
71107218330,923615898
71107218330,923875553
59239383381,923883703
59239383381,923342390
72985525785,923205774
72985525785,923807788
56755344493,923235643
56755344493,923394313
48521719805,923559827
48521719805,923452438
87216279589,923726976
87216279589,923413051
30920142163,923405319
30920142163,923854341
78863772613,923709433
78863772613,923285081
68554341093,923262603
68554341093,923307652
97814253961,923040362
97814253961,923047287
47044296571,923100693
47044296571,923723041
99114961185,923536920
99114961185,923100075
98596010240,923188976
98596010240,923073191
59178061008,923750081
59178061008,923327665
33740734427,923692313
33740734427,923824026
11488407815,923182439
11488407815,923407561
55084954475,923739910
55084954475,923402501
70424042522,923668498
70424042522,923924200
88830938671,923632247
88830938671,923240651
42496197100,923510230
42496197100,923410388
35836481654,923867206
35836481654,923049238
87326330340,923205607
87326330340,923928708
58511423596,923873253
58511423596,923781023
40901610514,923971954
40901610514,923126158
41245883510,923496748
41245883510,923882473
49190534391,923988565
49190534391,923514569
47745378101,923622641
47745378101,923576411
14759976012,923401525
14759976012,923008260
16486687329,923424725
16486687329,923402501
54266031536,923553891
54266031536,923468809
61869279824,923450742
61869279824,923888171
59425157154,923673324
59425157154,923731950
93099407661,923269332
93099407661,923682257
26007450882,923082905
26007450882,923813970
90671759399,923909737
90671759399,923902950
20225714121,923623626
20225714121,923835039
74890499878,923563780
74890499878,923155603
17714891968,923929352
17714891968,923319107
89420853134,923698250
89420853134,923165771
38732593186,923177106
38732593186,923294286
47541269292,923026255
47541269292,923143072
56707882150,923357726
56707882150,923072143
41282403412,923978195
41282403412,923481390
92648617690,923749674
92648617690,923578654
41950703009,923235398
41950703009,923797205
33177358558,923595998
33177358558,923414510
96475983680,923985058
96475983680,923214629
50594558106,923542719
50594558106,923786312
63303966351,923073191
63303966351,923574268
63142026947,923272041
63142026947,923706578
35923139313,923380115
35923139313,923765537
47390111899,923850743
47390111899,923607623
20289784590,923632722
20289784590,923910132
62259260070,923715865
62259260070,923896665
64321194196,923303337
64321194196,923267788
71355846508,923470088
71355846508,923744801
13782376559,923917653
13782376559,923340614
86392966709,923302725
86392966709,923212481
30422512409,923263882
30422512409,923732846
49700443454,923065366
49700443454,923383521
54957436707,923831238
54957436707,923110632
41640430613,923892900
41640430613,923257330
58318856699,923406837
58318856699,923659592
33392135605,923187747
33392135605,923011010
67718937426,923632487
67718937426,923671260
25996787725,923409126
25996787725,923585941
46119481181,923784791
46119481181,923936664
92893637494,923048856
92893637494,923819633
27356812692,923693189
27356812692,923476578
49111291714,923637553
49111291714,923774002
24608838787,923824901
24608838787,923412465
20020328616,923304295
20020328616,923736990
89520180631,923010871
89520180631,923108340
17803015634,923202819
17803015634,923878046
32041593854,923663095
32041593854,923138898
45080165218,923411271
45080165218,923960014
34067454541,923933731
34067454541,923784293
82395311679,923054204
82395311679,923687953
63024747422,923175805
63024747422,923409661
61613138888,923233915
61613138888,923759033
21381914078,923392239
21381914078,923130552
49778302557,923824026
49778302557,923518050
16572004490,923595421
16572004490,923383484
86075059173,923475360
86075059173,923960400
19594774720,923104781
19594774720,923931118
85011763802,923444343
