CNIC,Caller Number,Activate At
47119029416,923193450,2019-10-24
11489475867,923824588,2019-01-11
58946005822,923094362,2019-06-11
97290560120,923707852,2019-06-13
86168350303,923096679,2019-01-09
12308265425,923789771,2019-10-11
73463159208,923727216,2019-10-11
48544275611,923085494,2019-08-29
41869409889,923320766,2019-01-23
24217081053,923245495,2019-03-16
41854809285,923603436,2019-09-01
11498531159,923775996,2019-08-03
16600200851,923473288,2019-10-18
40679691002,923488916,2019-08-23
99339705864,923871849,2019-11-05
54979482902,923488611,2019-02-23
25911472647,923967832,2019-01-11
44392009769,923855732,2019-11-23
75143338952,923611317,2019-12-12
63324647179,923013749,2019-03-31
52318544007,923503426,2019-07-26
72045725588,923982813,2019-07-24
25253586718,923260042,2019-03-06
26211453706,923189695,2019-01-17
91219801045,923517518,2019-01-10
68045922741,923386341,2019-10-11
15127215204,923557661,2019-01-20
97385813379,923466736,2019-06-23
31161534779,923425645,2019-09-11
34686152508,923307670,2019-10-19
18678749145,923072253,2019-07-01
65018379505,923179330,2019-02-21
85092918065,923147690,2019-06-30
91443111871,923200393,2019-10-09
17107294383,923548241,2019-06-20
26836236412,923297083,2019-02-24
59052223150,923156792,2019-03-13
99335741907,923082386,2019-08-09
90729984215,923367656,2019-09-19
38768956452,923643850,2019-05-29
55958542014,923107832,2019-03-19
61798881294,923851484,2019-07-31
16287308719,923421108,2019-08-23
22224813923,923618386,2019-11-04
44348133190,923874460,2019-05-01
26437953640,923542857,2019-03-06
61233710857,923600520,2019-03-18
11698125474,923014655,2019-08-22
77409672605,923898516,2019-03-16
16229063535,923310384,2019-01-18
91026835256,923430987,2019-02-24
54694830296,923650124,2019-08-07
87741105103,923067619,2019-05-07
72621270548,923351051,2019-11-05
19610745490,923844096,2019-07-15
84463582042,923352102,2019-07-17
30417868475,923157270,2019-11-11
55775186343,923559635,2019-11-25
72833485626,923664359,2019-09-04
87128513183,923852539,2019-08-16
36585212652,923147098,2019-12-22
28829643092,923800741,2019-11-09
52793193961,923485755,2019-12-01
57044687708,923370387,2019-03-14
14256755930,923088064,2019-09-10
31361321860,923071966,2019-01-06
24464696136,923217753,2019-04-23
10016651977,923104233,2019-11-07
15846606069,923326769,2019-06-29
13005047521,923439370,2019-01-31
42662822891,923385592,2019-06-27
75457549534,923014161,2019-01-11
61454270430,923467587,2019-10-13
45958952244,923949369,2019-06-24
49041172782,923254175,2019-01-14
32647355510,923313657,2019-01-28
14503922800,923431158,2019-11-05
96120709703,923244875,2019-12-26
53033156770,923570860,2019-05-14
52295665514,923306839,2019-03-08
49565315683,923899687,2019-04-19
36037839964,923248182,2019-10-11
79319619335,923933694,2019-06-28
38530966862,923178894,2019-06-16
56940953512,923348923,2019-05-12
92858206788,923395931,2019-06-11
65046036358,923776028,2019-11-09
32074422338,923947171,2019-09-13
48775336424,923628404,2019-05-02
54078453106,923745445,2019-06-29
43345165528,923124214,2019-12-29
23244162435,923230914,2019-11-18
73662100275,923685288,2019-03-19
18145392337,923862150,2019-11-13
94928627263,923949839,2019-01-26
17790387345,923692593,2019-07-16
84413024068,923338985,2019-08-23
86333305628,923816063,2019-03-16
68691343538,923800056,2019-11-08
26674129122,923627981,2019-09-20
72177396799,923163108,2019-01-20
20562034476,923070973,2019-12-24
68920052596,923133479,2019-10-25
17793760112,923263108,2019-03-14
17345208872,923828957,2019-08-27
12377946217,923495107,2019-05-30
50374583302,923908159,2019-02-20
96290062458,923513187,2019-11-10
33019761134,923584822,2019-12-07
85035490163,923909033,2019-10-08
57657127681,923564027,2019-06-12
27324556514,923091959,2019-06-03
39855765417,923835931,2019-04-01
41815047699,923575046,2019-01-28
35471519862,923938352,2019-11-05
46936214598,923737184,2019-06-09
87797891557,923266497,2019-04-21
82231674521,923427778,2019-04-14
12342960117,923676252,2019-02-13
28557424234,923093526,2019-04-27
59332307253,923311961,2019-03-12
82257682494,923807788,2019-01-14
91552362936,923083713,2019-10-30
52422638494,923229579,2019-10-07
58191858227,923680234,2019-11-14
76600196505,923916734,2019-11-28
70637795449,923948352,2019-12-15
49040444059,923266401,2019-09-30
42025721013,923787685,2019-04-05
18821982947,923592834,2019-12-23
60614161296,923116320,2019-12-31
12140141945,923246875,2019-07-12
66552141410,923051297,2019-12-22
97232956735,923858677,2019-06-06
13003923954,923506616,2019-12-07
75502499052,923937926,2019-03-01
41931318241,923069218,2019-04-11
21171314498,923695631,2019-03-01
82330823490,923642419,2019-05-28
25586681634,923143980,2019-12-01
77787394601,923177106,2019-09-04
34773383953,923623368,2019-08-19
23173502914,923943722,2019-12-15
68412708557,923477598,2019-01-09
52110053149,923898341,2019-12-26
30023860106,923536481,2019-06-19
26700886827,923536421,2019-10-31
14886727493,923511611,2019-10-01
16162326997,923420291,2019-07-28
71030151956,923046785,2019-11-26
32795905263,923174190,2019-12-07
90408284537,923112732,2019-06-05
58635253258,923016752,2019-08-14
28016805882,923351046,2019-03-15
52726941132,923609203,2019-01-04
83633869281,923248514,2019-06-17
94657607297,923138219,2019-09-22
88034644748,923683639,2019-04-08
21815622401,923817845,2019-07-25
89759082368,923138249,2019-06-17
14131719656,923034780,2019-06-07
87834882249,923088977,2019-02-23
82581757784,923505464,2019-08-05
61120139860,923881475,2019-10-02
62184926877,923476481,2019-11-16
27645862376,923461393,2019-05-17
52138591655,923653627,2019-05-12
43086287760,923976514,2019-07-04
81765143908,923617516,2019-04-06
51820948949,923619721,2019-04-16
63246426761,923824979,2019-12-12
43815284770,923187709,2019-07-03
23234665297,923793477,2019-07-10
46170102427,923493727,2019-04-23
18981641409,923793475,2019-11-19
35624393594,923075168,2019-11-11
48777099606,923041257,2019-04-14
85330049814,923769372,2019-04-21
44192667086,923675130,2019-07-04
49188260582,923848252,2019-01-01
22943250982,923672187,2019-05-05
41663930203,923653189,2019-12-04
72627249396,923652363,2019-08-17
26569077843,923984782,2019-04-11
20338430371,923812221,2019-10-30
55272993764,923711691,2019-02-04
34617734162,923868159,2019-03-23
89711849903,923899997,2019-11-05
44554916626,923770202,2019-02-25
62330949893,923872899,2019-08-15
32095736310,923690801,2019-08-17
20476068048,923335591,2019-01-28
12962151202,923923431,2019-12-26
18838054150,923006672,2019-09-03
59123762272,923277169,2019-02-13
96002883920,923706578,2019-05-05
40305225457,923911215,2019-11-27
20132477693,923818339,2019-08-08
63459280708,923287426,2019-10-24
29604114552,923469319,2019-05-31
24354993083,923914763,2019-11-13
73438585996,923313291,2019-06-29
57188280516,923398926,2019-07-22
60245115677,923824026,2019-09-09
77567483076,923886510,2019-12-19
52050560712,923653711,2019-01-23
35922911147,923049238,2019-02-03
52628691851,923165125,2019-06-03
64509152465,923216589,2019-12-23
41167323412,923114324,2019-05-20
95034494650,923427479,2019-08-24
41792533913,923056412,2019-12-06
80660342111,923121142,2019-10-10
48535963166,923076963,2019-12-31
96792611009,923945151,2019-01-04
24791407669,923808024,2019-10-03
14990856727,923345379,2019-07-26
53925118501,923879353,2019-03-06
12851248653,923209242,2019-02-13
41988231670,923215673,2019-03-29
30295595959,923675322,2019-03-08
96309088987,923148987,2019-11-09
51835121701,923455314,2019-12-01
73275807301,923910661,2019-05-25
66049250863,923457424,2019-11-12
17390726010,923235620,2019-07-31
32731898697,923043990,2019-01-13
34808196604,923197775,2019-01-30
90159835448,923992929,2019-06-28
82999914880,923699055,2019-02-27
24893396952,923413962,2019-01-01
75569183865,923572819,2019-08-13
31571569636,923229655,2019-05-04
70093193449,923925951,2019-10-22
52492674358,923547233,2019-09-28
36578548415,923470088,2019-12-06
94921642953,923259916,2019-07-17
47258165930,923192345,2019-08-06
10453137419,923346076,2019-01-13
27903907331,923596503,2019-09-03
79600642122,923745547,2019-12-28
22077413159,923933834,2019-11-08
78354866999,923331868,2019-03-23
96029733738,923880350,2019-05-18
51352512313,923825312,2019-10-24
59394498914,923262603,2019-10-18
74323894456,923934231,2019-06-30
44291758529,923223895,2019-07-14
24799576868,923844772,2019-01-07
81640077907,923840188,2019-06-25
14490489650,923474805,2019-09-20
15947329034,923539645,2019-06-11
76000674591,923058366,2019-07-13
35742812799,923194868,2019-10-24
21572198236,923927714,2019-04-12
79233008882,923116591,2019-12-25
78763129541,923640446,2019-10-09
26975496787,923567999,2019-07-19
42357792636,923926627,2019-10-19
97862335292,923332617,2019-02-04
40833046145,923496748,2019-05-15
87808406850,923260676,2019-02-20
70762872517,923843338,2019-05-22
17244138910,923495266,2019-01-01
92095783591,923067566,2019-01-15
35989432140,923630126,2019-02-22
24607832477,923552237,2019-07-10
58937121337,923914404,2019-04-30
88349405445,923283068,2019-02-24
86351641107,923781150,2019-06-06
36148198321,923773330,2019-07-04
70944404008,923856582,2019-05-04
80518924317,923396961,2019-08-17
27065499132,923157769,2019-09-14
42258565774,923205774,2019-04-19
94364852995,923775255,2019-01-10
99693546180,923491414,2019-06-01
32738262482,923547599,2019-05-22
83270064156,923868783,2019-01-07
87517205653,923949789,2019-04-03
16235756980,923740471,2019-07-02
65589820349,923302978,2019-09-18
83143806829,923663345,2019-10-29
60074468563,923235478,2019-04-21
23642401233,923664239,2019-08-05
42456257549,923604540,2019-10-21
38733043595,923911109,2019-07-18
37323540357,923276306,2019-03-31
20771166269,923019608,2019-09-01
37874285736,923898945,2019-03-21
46329726383,923798633,2019-05-13
74079453622,923263188,2019-11-09
36958155112,923478087,2019-06-08
84804845743,923130934,2019-08-12
97059013123,923652681,2019-05-26
68748934438,923590750,2019-10-29
75081035541,923740721,2019-06-22
97940333929,923937713,2019-04-04
95474198317,923587121,2019-03-04
17598468093,923193518,2019-11-24
23276219946,923173510,2019-11-06
37487483322,923175361,2019-05-27
36228747060,923088758,2019-01-22
53293160457,923582281,2019-06-12
10059841625,923712625,2019-04-18
91169554155,923518461,2019-10-31
89959125871,923687657,2019-06-13
37423265555,923505018,2019-09-12
46694953745,923716515,2019-02-03
37136869218,923586208,2019-08-23
53706573564,923007189,2019-12-31
43361430175,923620202,2019-03-18
41432806089,923482680,2019-12-29
35710989429,923834385,2019-10-25
57846808938,923408922,2019-06-17
90913210130,923228206,2019-01-08
86989314782,923801613,2019-10-02
77305826461,923235398,2019-11-08
72920862640,923787477,2019-09-25
88560776078,923257316,2019-03-15
81536103552,923168273,2019-12-31
13225770855,923042369,2019-05-25
96876366449,923486834,2019-05-10
13282363849,923351059,2019-12-24
50831893599,923412465,2019-04-03
12103576399,923715618,2019-11-21
31484260993,923477079,2019-01-09
76647470030,923564987,2019-01-27
38429918879,923874205,2019-09-29
33830734288,923539422,2019-02-08
17110297485,923737764,2019-10-07
74546811461,923747161,2019-07-16
52721414897,923025420,2019-10-12
94715711612,923924292,2019-08-23
69480801423,923334565,2019-02-25
82666777761,923124776,2019-09-21
62806592407,923291366,2019-07-30
11876097408,923137264,2019-06-29
87531200256,923132134,2019-02-17
38113580124,923785945,2019-08-21
38041211971,923323120,2019-03-08
37760547093,923006396,2019-07-07
42763031433,923863760,2019-12-13
34616873424,923392801,2019-09-13
19684007575,923531307,2019-05-19
99049520708,923565368,2019-04-21
45691652042,923163580,2019-06-02
52899911113,923625584,2019-08-10
49655413202,923969689,2019-05-09
54021637244,923473049,2019-03-24
59720499811,923464964,2019-04-04
23399253788,923540389,2019-06-09
35054234008,923975395,2019-03-18
42499496497,923576472,2019-09-21
20474829490,923711442,2019-11-07
41956535073,923703616,2019-03-17
47501681326,923595305,2019-01-31
22361023564,923727431,2019-01-18
14297535964,923941665,2019-03-04
29638169991,923254934,2019-10-14
11405354228,923257720,2019-08-07
98013720561,923553783,2019-11-28
51475398234,923425533,2019-04-24
17094452469,923971030,2019-07-29
47631519177,923191377,2019-12-14
64919197681,923668455,2019-06-27
59779378947,923128862,2019-08-14
80249831918,923226094,2019-01-25
96498202830,923512866,2019-09-13
57707138981,923973995,2019-07-25
70374616130,923883586,2019-05-12
59328012017,923536920,2019-02-02
70846468317,923203166,2019-07-09
99379151453,923206732,2019-03-29
87312067807,923741833,2019-10-19
73287961831,923103724,2019-05-30
64141885003,923763256,2019-05-30
73747032616,923068914,2019-11-21
63843069290,923000301,2019-12-09
38768867646,923270897,2019-09-21
96791496227,923809598,2019-05-29
60702745464,923682309,2019-06-26
35745553986,923994663,2019-05-14
64740854181,923194272,2019-01-08
31456028444,923260654,2019-01-19
20984789225,923769558,2019-10-19
40942372285,923496608,2019-02-19
78589484448,923246433,2019-06-06
46671817445,923362885,2019-10-11
16915951976,923160076,2019-10-22
53106393719,923464028,2019-02-02
48467149586,923641237,2019-07-14
79557239811,923318946,2019-04-11
89858299798,923616705,2019-10-18
73395038055,923385828,2019-12-19
16047713654,923202144,2019-01-17
97627887009,923040362,2019-07-15
15018543370,923154645,2019-09-25
31354686552,923179958,2019-07-27
50444559402,923488938,2019-01-24
75244587698,923634162,2019-03-08
83003700970,923718728,2019-11-20
47822557387,923595998,2019-03-22
56782613077,923473346,2019-06-21
95078707519,923392239,2019-06-17
24197775374,923008120,2019-05-22
84312151469,923143072,2019-05-01
79551304839,923958218,2019-08-07
79586877485,923465824,2019-12-18
26298569654,923224249,2019-12-09
30888061457,923015774,2019-07-07
16552305892,923714002,2019-08-15
84868314150,923262612,2019-07-12
80276908892,923732299,2019-06-12
22708193849,923748662,2019-09-05
93951060174,923291457,2019-05-04
17596325286,923695432,2019-03-29
48470334913,923426452,2019-09-07
74064128482,923909485,2019-10-31
21881956592,923665047,2019-04-18
62135661561,923983145,2019-02-25
52737214182,923892551,2019-11-03
26960450370,923413051,2019-12-27
54336120635,923599644,2019-12-12
41594163566,923927664,2019-01-27
19197772455,923283686,2019-02-08
10113492762,923498236,2019-07-23
80246050778,923350667,2019-02-23
75040154370,923810879,2019-05-26
22522548714,923484655,2019-06-06
90028645059,923505973,2019-03-04
93608657929,923682966,2019-07-14
49535687985,923676149,2019-09-05
11459012776,923272699,2019-06-12
25215850753,923133072,2019-02-21
14381284074,923997208,2019-10-22
13988013017,923940964,2019-11-22
60686119610,923391759,2019-07-26
56503360987,923441169,2019-04-18
38583507512,923957279,2019-06-13
96464121894,923804999,2019-12-11
20260749882,923326344,2019-04-22
10788709848,923334562,2019-08-11
68745721406,923098498,2019-09-07
99907344754,923571409,2019-06-05
19011035743,923424116,2019-12-19
55769698128,923843662,2019-01-18
41535915665,923106717,2019-06-01
73144299008,923399004,2019-04-10
69724713834,923314500,2019-02-13
73229516718,923359988,2019-04-04
61900642791,923961248,2019-06-28
87216127832,923897040,2019-11-08
39910122762,923433137,2019-04-17
50220433004,923114334,2019-10-26
48183387180,923975821,2019-07-14
81636703052,923331554,2019-01-30
64204610334,923728643,2019-06-10
66608675735,923434294,2019-06-12
98288033322,923570197,2019-11-18
55037138173,923572046,2019-04-18
27297979182,923891069,2019-03-09
14580700937,923440921,2019-08-21
70278591384,923205950,2019-12-28
31723618694,923232291,2019-09-15
47060329399,923734389,2019-06-16
21481273667,923229660,2019-01-09
86617258491,923096940,2019-12-20
50186574933,923085799,2019-10-18
14599200950,923806370,2019-05-04
33865034610,923775375,2019-01-24
59119200719,923597533,2019-10-01
70600197149,923065311,2019-01-17
11472613036,923013258,2019-05-23
21177190557,923914190,2019-11-30
17880664041,923058340,2019-08-26
19514889654,923411553,2019-08-10
19805798890,923619333,2019-04-16
32619650802,923165776,2019-12-27
55635184841,923261102,2019-11-28
44400433837,923361939,2019-01-02
54126173409,923474679,2019-08-13
65365776662,923260928,2019-10-27
55063028694,923048856,2019-04-10
63981019207,923440494,2019-03-18
39499823077,923131953,2019-01-10
20736561668,923341732,2019-10-19
97616611815,923550031,2019-02-13
48251708357,923634464,2019-01-17
17904394456,923327530,2019-10-29
79909475316,923114966,2019-12-14
41940585513,923919934,2019-07-24
20842076657,923939286,2019-02-10
78260134662,923423241,2019-05-28
36913537746,923772525,2019-01-21
55628700833,923610854,2019-10-03
25492835328,923320522,2019-06-03
94071990470,923268317,2019-06-21
34992859749,923240271,2019-01-05
26062845183,923212687,2019-03-04
80443880298,923241277,2019-10-01
17761090499,923355247,2019-02-01
32908665285,923026402,2019-11-25
52456212854,923800993,2019-01-30
84719926416,923655646,2019-10-26
67710227507,923160773,2019-05-03
44759421566,923431958,2019-06-16
73122470424,923749674,2019-03-07
78134249905,923843613,2019-09-06
73842568237,923544016,2019-05-27
30013962670,923427537,2019-11-03
88329881194,923407561,2019-05-30
48199168318,923040082,2019-11-18
82176989400,923632331,2019-08-04
26968543511,923152807,2019-11-06
61615757843,923896532,2019-07-27
36503436232,923441635,2019-01-18
12310143936,923895398,2019-12-10
25888072084,923201202,2019-09-12
87963791109,923733955,2019-10-28
50723685653,923032378,2019-03-17
58454626649,923182439,2019-02-22
48880283711,923945856,2019-09-10
25557122907,923180635,2019-06-12
97632603184,923172500,2019-02-19
60466772097,923854341,2019-03-31
32112108012,923412123,2019-09-12
97840804033,923733828,2019-12-30
61463229567,923777244,2019-08-31
98818921549,923121728,2019-06-29
55718903136,923507586,2019-03-13
51833412880,923681925,2019-06-26
39717847850,923609261,2019-01-24
72281448322,923150359,2019-12-22
75610129559,923272099,2019-07-09
41948035558,923242119,2019-01-25
67975957230,923546811,2019-01-09
12389785082,923041458,2019-07-31
89691327606,923393101,2019-11-02
16213900594,923503166,2019-10-14
64163715576,923800019,2019-08-20
86247467323,923507671,2019-11-09
97014080463,923979109,2019-11-16
15652627609,923149103,2019-02-08
24166252870,923485001,2019-12-05
75263896133,923677581,2019-03-09
84847111277,923530534,2019-08-10
84870659692,923537177,2019-12-09
79262212032,923784321,2019-12-22
58517565273,923538185,2019-11-07
17663099021,923759663,2019-09-28
78786339357,923732846,2019-08-22
88761025349,923835008,2019-04-10
25247676270,923263010,2019-06-11
82871953000,923916852,2019-11-29
47376092057,923041863,2019-11-07
74992652148,923814225,2019-12-31
88821049327,923033784,2019-11-12
10062652262,923989676,2019-07-11
65179641372,923441568,2019-09-07
99458817317,923552341,2019-06-07
82647516586,923359937,2019-04-23
11098850951,923211776,2019-05-22
17920102007,923665917,2019-09-30
63448856515,923353532,2019-05-27
37733492291,923899404,2019-07-12
84015737156,923839070,2019-07-08
42424447123,923088264,2019-07-01
38688235091,923409041,2019-07-29
83504412851,923291503,2019-02-04
61174740108,923639998,2019-08-01
75964480499,923924915,2019-12-12
65515463684,923522207,2019-07-10
82977056195,923857820,2019-12-22
16034601936,923349774,2019-12-07
34855316353,923842748,2019-08-06
81564051358,923077026,2019-01-09
93507189470,923506186,2019-08-28
84637422216,923102771,2019-09-02
93160235799,923903859,2019-12-29
11665925569,923799387,2019-09-27
39024511375,923645815,2019-03-15
20396198074,923275443,2019-08-24
41938331742,923971871,2019-04-01
57813315657,923571985,2019-06-06
68187079453,923901927,2019-05-18
52204078573,923415694,2019-04-21
82621066979,923526282,2019-07-17
68604657775,923261077,2019-01-01
59152888074,923586374,2019-01-03
86569540060,923404741,2019-05-22
29318406929,923431053,2019-08-25
39498718236,923535984,2019-11-02
29143855435,923916897,2019-01-01
73441359446,923503094,2019-11-19
49203358991,923037768,2019-01-18
92372940259,923487786,2019-03-03
85041823284,923573495,2019-12-04
90843112852,923615898,2019-09-04
28987794194,923228430,2019-02-22
45479757271,923303580,2019-01-19
60123565166,923936319,2019-01-21
80431177631,923791302,2019-11-26
38988445889,923400788,2019-02-03
95564204552,923212363,2019-02-15
57875603358,923816510,2019-05-30
59000678015,923900709,2019-05-07
74969321733,923202537,2019-12-10
51990504910,923111760,2019-07-17
91545098347,923923891,2019-02-18
77888807075,923686858,2019-12-01
71061818315,923720542,2019-02-07
93201964675,923718760,2019-02-23
59262067735,923736051,2019-03-15
60655504790,923158452,2019-10-03
82368907382,923695672,2019-12-21
71107218330,923424395,2019-05-01
59239383381,923873316,2019-12-05
72985525785,923592084,2019-05-11
56755344493,923651341,2019-09-14
48521719805,923284231,2019-07-07
87216279589,923054045,2019-12-15
30920142163,923439934,2019-01-09
78863772613,923012067,2019-01-30
68554341093,923496120,2019-01-26
97814253961,923342062,2019-09-06
47044296571,923699264,2019-08-03
99114961185,923080235,2019-11-12
98596010240,923547322,2019-11-14
59178061008,923897008,2019-08-27
33740734427,923254250,2019-08-11
11488407815,923298642,2019-11-27
55084954475,923349963,2019-04-19
70424042522,923945863,2019-07-08
88830938671,923276939,2019-02-11
42496197100,923135597,2019-04-25
35836481654,923822521,2019-07-23
87326330340,923314936,2019-02-19
58511423596,923011114,2019-09-25
40901610514,923563780,2019-12-06
41245883510,923111432,2019-10-09
49190534391,923341125,2019-07-06
47745378101,923534672,2019-09-30
14759976012,923080739,2019-10-27
16486687329,923537027,2019-06-06
54266031536,923651351,2019-05-04
61869279824,923645069,2019-03-26
59425157154,923735435,2019-03-23
93099407661,923170312,2019-01-26
26007450882,923965958,2019-12-23
90671759399,923087005,2019-01-04
20225714121,923330454,2019-01-08
74890499878,923322201,2019-09-17
17714891968,923112200,2019-07-24
89420853134,923292062,2019-02-12
38732593186,923270888,2019-07-15
47541269292,923962039,2019-01-24
56707882150,923673567,2019-10-10
41282403412,923133079,2019-04-22
92648617690,923450742,2019-05-24
41950703009,923342146,2019-11-15
33177358558,923218915,2019-01-08
96475983680,923321347,2019-10-24
50594558106,923834412,2019-03-03
63303966351,923481642,2019-08-06
63142026947,923807391,2019-10-22
35923139313,923946192,2019-02-24
47390111899,923167050,2019-02-27
20289784590,923801349,2019-06-05
62259260070,923322146,2019-11-08
64321194196,923274984,2019-06-25
71355846508,923008804,2019-03-17
13782376559,923729120,2019-11-07
86392966709,923147949,2019-03-30
30422512409,923071847,2019-08-02
49700443454,923917483,2019-03-21
54957436707,923722738,2019-11-12
41640430613,923377791,2019-02-12
58318856699,923726224,2019-05-17
33392135605,923377383,2019-05-12
67718937426,923107994,2019-08-24
25996787725,923347088,2019-03-30
46119481181,923270476,2019-04-25
92893637494,923236870,2019-08-22
27356812692,923011010,2019-01-18
49111291714,923319597,2019-10-31
24608838787,923065471,2019-12-31
20020328616,923754248,2019-11-04
89520180631,923308916,2019-08-09
17803015634,923365899,2019-12-30
32041593854,923713955,2019-06-12
45080165218,923474376,2019-03-22
34067454541,923744801,2019-01-28
82395311679,923069447,2019-10-06
63024747422,923950986,2019-12-23
61613138888,923083148,2019-03-04
21381914078,923163727,2019-08-29
49778302557,923219443,2019-11-20
16572004490,923393004,2019-08-26
86075059173,923865108,2019-07-19
19594774720,923859331,2019-09-28
85011763802,923329868,2019-12-29
23429260853,923685163,2019-04-24
86923267526,923548101,2019-10-04
84703719017,923092622,2019-05-27
25405068557,923073921,2019-11-23
39418979059,923993612,2019-11-04
75272800852,923318392,2019-08-15
62332660181,923786563,2019-02-20
76050380728,923987561,2019-01-03
94359779849,923609861,2019-10-13
61463805815,923248837,2019-09-28
83334179462,923729486,2019-03-22
21287409302,923818934,2019-03-15
77710443890,923282040,2019-12-11
24228644620,923066783,2019-02-22
97898344856,923090862,2019-06-24
70716597067,923263882,2019-12-18
17653707008,923141225,2019-03-07
88792897939,923932181,2019-01-09
18040676886,923254635,2019-09-18
62536614722,923290884,2019-03-07
67163807725,923468603,2019-11-08
49486134245,923182303,2019-03-03
89333087475,923043927,2019-11-05
56306038359,923321233,2019-06-20
49235567545,923534817,2019-03-26
47038982166,923444334,2019-04-10
57183042196,923248945,2019-05-03
30320149703,923294723,2019-12-10
89945472494,923050480,2019-03-22
13698420332,923658301,2019-10-27
56045329471,923955469,2019-10-27
78976687239,923292662,2019-01-14
50355267626,923110530,2019-11-19
90224562867,923495850,2019-10-15
63603313446,923664812,2019-08-30
16821379485,923572380,2019-10-11
25626934008,923463571,2019-05-17
45883217657,923327665,2019-12-23
88481322444,923175080,2019-06-14
88367229300,923116510,2019-03-05
15977041121,923254120,2019-07-21
63098448511,923894136,2019-04-08
45253400351,923601870,2019-10-21
63414273556,923247260,2019-02-28
87609023431,923473153,2019-07-08
59277217286,923120050,2019-03-31
51068197951,923272041,2019-01-14
65780500058,923465059,2019-08-24
16040415536,923252651,2019-11-24
98624586777,923987987,2019-09-14
69436304189,923637511,2019-03-01
96835518904,923540470,2019-11-23
97927999447,923693626,2019-04-16
61230187747,923815222,2019-04-29
99896509152,923142928,2019-09-05
72284325444,923323005,2019-10-21
33024584109,923278891,2019-01-05
21679029758,923286627,2019-02-12
38409916653,923304128,2019-02-22
92077572804,923871008,2019-01-06
70765946328,923639713,2019-05-01
37992172589,923767286,2019-05-20
21784274293,923701055,2019-01-28
88303272394,923566446,2019-05-10
37482099279,923201194,2019-11-03
95773169087,923113542,2019-01-19
68552362001,923121629,2019-05-05
24144589403,923028336,2019-04-24
31614263106,923921952,2019-05-28
30820571302,923809942,2019-08-15
77743188919,923370543,2019-10-29
30351022002,923520494,2019-05-16
65466223628,923033978,2019-03-21
91351324373,923106485,2019-09-25
21667310682,923933731,2019-03-10
92143480010,923310605,2019-09-24
93892367923,923284256,2019-09-13
24913411111,923221877,2019-05-23
90273044340,923237514,2019-04-23
79535422711,923095009,2019-01-01
61916109231,923007888,2019-01-18
26655389283,923473192,2019-07-06
76351326272,923785921,2019-01-14
38804986318,923560887,2019-08-23
58801006705,923969319,2019-01-31
92079138785,923243352,2019-03-01
76557341915,923372936,2019-04-28
24151273151,923270183,2019-06-20
97041152992,923690880,2019-03-14
23060702992,923767311,2019-09-13
11383845280,923273295,2019-01-25
90927568446,923440388,2019-03-28
85035484642,923818743,2019-05-01
45869416441,923308642,2019-09-12
98052057668,923928668,2019-06-21
60873088399,923381705,2019-06-06
